바나,60,152
나라,63,149
라바,52,166
타파,69,162
사파,67,197
자라,85,198
바아,41,198
하나,48,152
아차,95,165
아파,79,168
파자,96,172
나차,58,155
파나,47,170
마마,80,150
파다,96,149
자바,79,193
다타,91,190
나가,72,193
라타,78,172
사다,78,148
타마,68,196
카아,73,160
마아,54,194
나나,55,144
사다,89,146
가사,94,163
하하,89,162
다다,41,147
타나,83,193
나가,63,188
하나,47,167
하나,55,194
다마,50,146
자파,92,174
하하,50,157
사파,49,162
자바,60,179
마라,87,196
마카,55,198
차바,59,179
바파,65,143
라가,63,164
라바,41,168
가타,52,199
가사,52,175
타마,72,172
가가,40,192
다파,66,170
타나,74,195
타하,97,178
차사,63,177
파파,63,154
다바,70,150
바나,46,187
파차,51,187
마사,97,145
차파,91,166
바사,69,171
다카,73,189
가다,69,196
사마,57,162
하카,43,155
사카,98,151
마다,80,178
라가,47,185
마다,40,163
아마,89,158
바마,46,173
자가,63,158
하사,71,190
아다,63,183
파카,72,155
사라,82,195
라자,99,163
나자,79,145
가다,73,172
마다,83,199
나사,51,163
차카,52,171
하차,50,172
라가,69,176
가바,53,169
다타,49,169
라차,89,192
파바,72,199
파자,47,152
나바,64,176
나아,93,148
마아,92,181
자라,97,176
사바,99,183
타카,68,150
마다,63,148
마바,53,176
라마,45,190
타아,59,155
다카,58,162
파자,63,166
파마,84,167
사아,86,189
마나,98,142
마다,91,162
라가,42,166
카카,60,155
라바,44,166
파사,51,166
사하,83,145
다다,66,150
타차,80,161
사바,71,142
바바,59,162
가하,72,149
사나,76,151
아아,47,159
라파,67,141
마카,46,186
하파,93,171
아카,80,157
사파,78,152
라아,51,151
마가,83,187
카마,65,166
자자,51,195
파카,93,191
라다,92,192
사자,55,190
자가,55,166
아바,87,181
아차,65,164
나카,79,173
라사,87,177
아마,40,167
자카,71,155
카자,90,175
아아,43,177
나가,75,143
가하,91,199
타하,67,196
라마,69,150
다파,82,144
아바,91,172
자파,96,177
하나,76,185
자파,87,169
마자,64,197
마하,42,159
라가,90,193
아마,40,147
타자,43,190
카나,60,141
라차,77,197
차가,91,187
카타,79,170
하사,46,154
타하,47,164
아나,88,169
라사,78,191
가차,57,145
마타,54,160
하가,46,173
마바,68,189
파차,55,175
카하,81,182
나가,45,159
다아,71,146
마나,55,187
타아,84,194
하카,63,180
마가,78,189
사마,53,149
가아,85,196
나가,47,157
바차,92,153
차바,48,173
차라,49,179
하다,53,185
나사,84,197
차마,65,155
타타,43,187
라타,91,175
바바,50,190
타카,99,148
바타,83,145
다차,94,183
사사,60,162
마아,69,142
바자,67,190
사바,63,159
라라,53,146
라타,49,177
파아,87,143
하사,89,157
카나,78,153
차나,52,196
바파,51,144
하아,46,156
라마,72,185
하마,45,196
마바,90,156
파자,44,159
나나,49,182
타파,90,169
나타,59,190
마파,90,147
라나,68,147
하카,74,186
차라,88,185
하자,98,197
가바,46,158
파바,48,197
라타,43,189
카사,68,191
하하,78,158
파가,96,165
사가,53,161
차아,63,197
파다,44,196
사차,57,166
자사,72,159
마차,63,167
아나,98,159
다바,44,181
아사,91,141
가아,52,195
타아,40,180
아카,51,143
가파,89,157
파가,66,163
바카,81,191
아다,95,141
가나,62,141
나가,79,164
라다,43,193
라파,98,176
바카,88,176
바라,50,172
타가,63,187
카타,43,141
바바,51,152
카가,67,169
파가,73,173
카카,88,160
바사,91,184
하라,60,178
사바,90,178
차아,72,156
카파,78,168
파카,72,169
타다,69,153
다마,50,160
마아,90,161
라가,64,143
바파,79,170
파하,93,196
마아,44,146
라나,76,140
가타,51,144
카다,70,169
라라,80,140
다카,84,173
바라,42,191
타아,91,169
자파,91,189
자다,52,172
다파,95,195
차바,52,182
다마,58,198
차파,81,165
자타,99,175
가다,77,183
라바,40,195
가아,55,195
파가,66,155
하차,85,160
카가,97,143
파카,44,178
카하,85,185
나카,92,140
카바,99,197
다마,89,144
나가,94,191
나라,53,167
사다,91,192
자다,73,184
사가,81,156
가바,88,147
바사,54,181
사아,79,170
타아,96,167
가카,77,153
아라,83,149
다파,73,183
자가,67,159
하다,63,196
하아,65,199
사사,98,142
라마,80,179
바하,82,147
차사,55,152
자차,92,190
차가,62,148
나타,98,188
마사,52,160
차타,92,178
라바,50,163
차아,59,143
사카,92,163
하나,91,140
가차,94,191
라나,68,186
사나,92,184
카차,98,162
라아,90,174
바마,42,171
마나,82,192
하차,56,153
파하,82,142
하하,55,164
바타,49,187
아마,48,144
카라,47,157
아파,51,172
사자,95,150
라바,61,148
마아,68,154
카가,78,154
가바,57,155
나마,92,158
차다,78,176
사가,96,168
라바,83,143
자다,45,166
다카,75,155
사하,45,169
가파,41,152
하타,43,189
마마,43,162
다마,97,194
타파,60,191
아바,92,189
차하,80,190
바마,99,151
라나,76,162
하다,45,181
하다,56,175
타타,73,170
카사,59,167
카라,80,152
마카,64,149
다바,76,186
파사,85,142
자자,77,165
아아,46,168
자자,67,177
파카,45,148
다다,75,177
나다,79,140
차아,78,146
다마,64,163
아나,80,184
라나,42,155
가자,59,187
나카,73,191
사사,60,165
자자,40,168
하가,76,153
하마,88,189
가라,48,170
라마,82,166
사마,75,160
다카,65,186
나자,76,169
타나,82,160
다바,49,158
아사,89,145
라파,93,163
파바,56,159
하파,50,143
자사,44,189
차하,84,147
라마,54,186
차마,90,183
바파,43,149
가파,68,149
타차,98,172
타차,54,191
파파,53,198
하사,49,149
아마,62,150
하차,45,173
다아,82,168
차차,42,174
자파,67,195
가하,88,161
라다,53,188
라마,46,169
카카,91,147
사마,78,163
하타,53,141
다타,90,152
마아,41,159
사바,45,167
사다,98,147
다바,79,157
사사,79,157
차타,92,154
바하,51,174
라라,61,154
파사,86,142
사카,58,156
파카,96,183
하파,69,145
다파,87,143
하아,81,188
사사,95,151
파다,52,167
하마,42,154
다자,53,151
차바,41,197
자라,84,180
마자,64,144
파아,45,162
사자,53,174
파마,66,183
차가,73,152
파라,84,154
카나,68,179
하라,87,199
파가,45,170
사가,73,154
타바,57,182
하카,50,164
사자,50,177
사하,57,181
파라,84,144
아하,80,184
파라,87,174
차차,68,182
가라,55,147
바차,55,190
라라,54,145
아타,79,191
카마,83,152
나다,90,193
가가,71,177
차자,42,187
카차,53,154
라파,42,191
가파,93,174
다사,76,191
하아,68,156
하파,75,154
나타,92,161
파타,46,150
사마,45,160
마아,62,148
다하,81,149
마타,56,155
자마,42,194
마자,42,195
나마,61,149
마라,75,144
라마,80,160
하하,85,164
하차,69,175
아파,62,173
가하,88,195
파타,59,159
카나,66,150
아파,73,190
타라,52,163
나마,80,143
차하,64,156
다라,78,140
파하,57,158
하자,42,172
다자,54,190
자하,51,174
타카,79,163
하다,70,164
라타,41,155
마라,62,185
차다,81,146
바파,64,179
다마,98,190
다가,53,178
사가,72,179
다라,68,183
마다,97,180
사카,87,163
하사,60,157
라타,81,166
라아,85,196
바나,65,144
카다,94,156
파사,46,142
파파,52,165
카다,83,140
나하,56,180
카가,65,163
나타,91,161
다마,47,147
파바,78,155
자아,86,190
나바,68,189
카마,57,153
가타,59,194
나아,73,188
파아,63,146
파라,49,178
타나,77,141
다타,48,198
자자,83,163
가파,56,195
파다,87,185
바자,78,192
다라,59,194
마차,48,182
하하,93,147
하다,97,175
카차,72,173
타바,97,149
파아,67,162
나다,54,184
자나,68,188
타카,43,192
자사,82,158
사라,83,175
다바,86,165
바카,78,182
카다,86,166
자차,42,150
바파,66,165
카자,92,188
다차,91,182
마마,76,160
카차,99,199
바사,79,188
파타,99,147
타가,51,164
아마,77,191
하사,60,196
바타,42,177
가차,72,140
카마,83,153
타카,95,166
아바,53,169
사다,66,186
아아,49,190
마아,51,153
사나,58,178
카가,95,152
다타,79,179
자가,72,169
아타,83,188
차파,42,167
파자,40,144
라바,93,162
자파,49,173
자마,63,183
타가,73,175
아자,53,195
바카,96,173
자다,58,152
자자,91,150
라마,40,165
차파,89,151
사라,58,171
타자,65,171
사다,63,187
타가,41,183
나타,97,199
가바,77,141
마차,55,157
가다,92,198
나아,94,195
차라,93,157
카파,44,150
나나,70,154
나파,62,169
바아,71,161
바하,75,172
자파,42,153
타차,78,151
카바,90,174
라타,55,184
나카,99,158
가가,97,179
하다,46,155
카카,56,144
자가,66,194
파바,43,189
바마,72,189
파사,76,178
아사,91,159
다자,68,152
